,time,count
747,2006-07-17,1
748,2006-12-04,1
750,2007-01-15,1
751,2007-03-05,1
752,2007-03-19,1
724,2007-04-02,3
726,2007-04-09,3
753,2007-04-16,1
754,2007-04-23,1
729,2007-04-30,2
730,2007-07-02,2
755,2007-07-09,1
756,2007-07-30,1
757,2007-08-20,1
758,2007-08-27,1
759,2007-09-24,1
760,2007-11-12,1
736,2007-12-10,2
761,2008-02-11,1
762,2008-02-18,1
763,2008-02-25,1
738,2008-03-10,2
739,2008-03-17,2
740,2008-03-24,2
764,2008-03-31,1
741,2008-04-07,2
765,2008-04-14,1
743,2008-04-21,2
766,2008-04-28,1
767,2008-05-05,1
711,2008-05-12,4
733,2008-05-19,2
737,2008-05-26,2
710,2008-06-09,4
727,2008-06-23,3
768,2008-06-30,1
735,2008-07-07,2
734,2008-07-14,2
731,2008-07-21,2
709,2008-07-28,5
749,2008-08-04,1
723,2008-08-11,3
744,2008-08-18,2
706,2008-08-25,5
712,2008-09-01,4
700,2008-09-08,6
713,2008-09-15,4
707,2008-09-22,5
742,2008-09-29,2
728,2008-10-06,3
708,2008-10-13,5
716,2008-10-20,4
702,2008-10-27,5
705,2008-11-03,5
717,2008-11-10,4
718,2008-11-17,4
688,2008-11-24,8
696,2008-12-01,7
745,2008-12-08,2
697,2008-12-15,7
699,2008-12-22,6
725,2008-12-29,3
661,2009-01-05,11
687,2009-01-12,8
692,2009-01-19,8
679,2009-01-26,9
471,2009-02-02,18
582,2009-02-09,15
506,2009-02-16,17
585,2009-02-23,15
180,2009-03-02,26
103,2009-03-09,31
304,2009-03-16,23
581,2009-03-23,15
163,2009-03-30,27
296,2009-04-06,23
34,2009-04-13,43
159,2009-04-20,27
238,2009-04-27,24
558,2009-05-04,16
240,2009-05-11,24
560,2009-05-18,16
653,2009-05-25,12
535,2009-06-01,17
339,2009-06-08,22
42,2009-06-15,41
51,2009-06-22,38
217,2009-06-29,25
500,2009-07-06,18
308,2009-07-13,22
504,2009-07-20,17
691,2009-07-27,8
690,2009-08-03,8
359,2009-08-10,21
631,2009-08-17,13
315,2009-08-24,22
675,2009-08-31,9
516,2009-09-07,17
435,2009-09-14,19
657,2009-09-21,12
606,2009-09-28,14
683,2009-10-05,9
490,2009-10-12,18
641,2009-10-19,13
643,2009-10-26,12
620,2009-11-02,14
674,2009-11-09,10
662,2009-11-16,11
695,2009-11-23,7
640,2009-11-30,13
689,2009-12-07,8
644,2009-12-14,12
665,2009-12-21,11
154,2009-12-28,27
594,2010-01-04,15
566,2010-01-11,16
514,2010-01-18,17
634,2010-01-25,13
421,2010-02-01,19
486,2010-02-08,18
664,2010-02-15,11
532,2010-02-22,17
282,2010-03-01,23
652,2010-03-08,12
632,2010-03-15,13
654,2010-03-22,12
600,2010-03-29,14
554,2010-04-05,16
361,2010-04-12,21
459,2010-04-19,19
680,2010-04-26,9
496,2010-05-03,18
336,2010-05-10,22
438,2010-05-17,19
341,2010-05-24,22
651,2010-05-31,12
660,2010-06-07,11
557,2010-06-14,16
528,2010-06-21,17
645,2010-06-28,12
666,2010-07-05,11
612,2010-07-12,14
573,2010-07-19,16
406,2010-07-26,20
694,2010-08-02,7
681,2010-08-09,9
586,2010-08-16,15
669,2010-08-23,11
442,2010-08-30,19
622,2010-09-06,14
619,2010-09-13,14
527,2010-09-20,17
475,2010-09-27,18
698,2010-10-04,7
714,2010-10-11,4
591,2010-10-18,15
587,2010-10-25,15
663,2010-11-01,11
648,2010-11-08,12
676,2010-11-15,9
646,2010-11-22,12
621,2010-11-29,14
672,2010-12-06,10
480,2010-12-13,18
460,2010-12-20,19
630,2010-12-27,13
411,2011-01-03,20
355,2011-01-10,21
588,2011-01-17,15
287,2011-01-24,23
468,2011-01-31,18
225,2011-02-07,25
275,2011-02-14,23
458,2011-02-21,19
329,2011-02-28,22
450,2011-03-07,19
539,2011-03-14,16
187,2011-03-21,26
186,2011-03-28,26
162,2011-04-04,27
223,2011-04-11,25
540,2011-04-18,16
597,2011-04-25,15
97,2011-05-02,31
472,2011-05-09,18
232,2011-05-16,25
380,2011-05-23,21
362,2011-05-30,21
598,2011-06-06,15
508,2011-06-13,17
610,2011-06-20,14
226,2011-06-27,25
147,2011-07-04,27
513,2011-07-11,17
479,2011-07-18,18
578,2011-07-25,16
481,2011-08-01,18
66,2011-08-08,35
106,2011-08-15,31
245,2011-08-22,24
511,2011-08-29,17
485,2011-09-05,18
517,2011-09-12,17
576,2011-09-19,16
575,2011-09-26,16
130,2011-10-03,28
599,2011-10-10,15
617,2011-10-17,14
309,2011-10-24,22
512,2011-10-31,17
354,2011-11-07,21
483,2011-11-14,18
221,2011-11-21,25
611,2011-11-28,14
626,2011-12-05,13
352,2011-12-12,21
570,2011-12-19,16
168,2011-12-26,27
351,2012-01-02,21
518,2012-01-09,17
262,2012-01-16,24
408,2012-01-23,20
409,2012-01-30,20
307,2012-02-06,23
146,2012-02-13,27
410,2012-02-20,20
201,2012-02-27,25
181,2012-03-05,26
629,2012-03-12,13
131,2012-03-19,28
601,2012-03-26,14
536,2012-04-02,17
412,2012-04-09,20
111,2012-04-16,30
413,2012-04-23,20
436,2012-04-30,19
609,2012-05-07,14
300,2012-05-14,23
314,2012-05-21,22
264,2012-05-28,24
301,2012-06-04,23
564,2012-06-11,16
358,2012-06-18,21
266,2012-06-25,24
530,2012-07-02,17
667,2012-07-09,11
161,2012-07-16,27
134,2012-07-23,28
467,2012-07-30,18
463,2012-08-06,18
402,2012-08-13,20
237,2012-08-20,24
628,2012-08-27,13
607,2012-09-03,14
316,2012-09-10,22
118,2012-09-17,29
198,2012-09-24,25
87,2012-10-01,33
327,2012-10-08,22
305,2012-10-15,23
537,2012-10-22,17
577,2012-10-29,16
484,2012-11-05,18
204,2012-11-12,25
319,2012-11-19,22
176,2012-11-26,26
313,2012-12-03,22
419,2012-12-10,20
627,2012-12-17,13
556,2012-12-24,16
417,2012-12-31,20
209,2013-01-07,25
370,2013-01-14,21
559,2013-01-21,16
119,2013-01-28,29
243,2013-02-04,24
444,2013-02-11,19
538,2013-02-18,17
242,2013-02-25,24
302,2013-03-04,23
303,2013-03-11,23
443,2013-03-18,19
416,2013-03-25,20
440,2013-04-01,19
439,2013-04-08,19
151,2013-04-15,27
73,2013-04-22,34
108,2013-04-29,31
437,2013-05-06,19
100,2013-05-13,31
256,2013-05-20,24
562,2013-05-27,16
415,2013-06-03,20
360,2013-06-10,21
382,2013-06-17,21
565,2013-06-24,16
294,2013-07-01,23
414,2013-07-08,20
422,2013-07-15,19
433,2013-07-22,19
109,2013-07-29,30
182,2013-08-05,26
365,2013-08-12,21
668,2013-08-19,11
259,2013-08-26,24
374,2013-09-02,21
525,2013-09-09,17
655,2013-09-16,12
251,2013-09-23,24
57,2013-09-30,36
193,2013-10-07,25
474,2013-10-14,18
271,2013-10-21,23
183,2013-10-28,26
272,2013-11-04,23
403,2013-11-11,20
274,2013-11-18,23
167,2013-11-25,27
488,2013-12-02,18
273,2013-12-09,23
602,2013-12-16,14
520,2013-12-23,17
407,2013-12-30,20
423,2014-01-06,19
572,2014-01-13,16
330,2014-01-20,22
269,2014-01-27,24
268,2014-02-03,24
170,2014-02-10,27
276,2014-02-17,23
502,2014-02-24,17
286,2014-03-03,23
99,2014-03-10,31
124,2014-03-17,29
110,2014-03-24,30
235,2014-03-31,24
579,2014-04-07,16
375,2014-04-14,21
376,2014-04-21,21
247,2014-04-28,24
378,2014-05-05,21
246,2014-05-12,24
456,2014-05-19,19
292,2014-05-26,23
381,2014-06-02,21
404,2014-06-09,20
291,2014-06-16,23
244,2014-06-23,24
328,2014-06-30,22
290,2014-07-07,23
384,2014-07-14,21
592,2014-07-21,15
143,2014-07-28,28
320,2014-08-04,22
318,2014-08-11,22
385,2014-08-18,21
86,2014-08-25,33
212,2014-09-01,25
616,2014-09-08,14
418,2014-09-15,20
452,2014-09-22,19
123,2014-09-29,29
457,2014-10-06,19
548,2014-10-13,16
252,2014-10-20,24
285,2014-10-27,23
569,2014-11-03,16
206,2014-11-10,25
497,2014-11-17,18
323,2014-11-24,22
625,2014-12-01,13
489,2014-12-08,18
145,2014-12-15,28
265,2014-12-22,24
85,2014-12-29,33
155,2015-01-05,27
192,2015-01-12,25
534,2015-01-19,17
62,2015-01-26,35
188,2015-02-02,26
350,2015-02-09,21
494,2015-02-16,18
195,2015-02-23,25
185,2015-03-02,26
401,2015-03-09,20
112,2015-03-16,30
166,2015-03-23,27
199,2015-03-30,25
338,2015-04-06,22
337,2015-04-13,22
531,2015-04-20,17
524,2015-04-27,17
445,2015-05-04,19
349,2015-05-11,21
257,2015-05-18,24
334,2015-05-25,22
278,2015-06-01,23
589,2015-06-08,15
466,2015-06-15,18
53,2015-06-22,37
397,2015-06-29,20
295,2015-07-06,23
255,2015-07-13,24
387,2015-07-20,20
501,2015-07-27,18
541,2015-08-03,16
200,2015-08-10,25
498,2015-08-17,18
279,2015-08-24,23
164,2015-08-31,27
673,2015-09-07,10
426,2015-09-14,19
311,2015-09-21,22
491,2015-09-28,18
184,2015-10-05,26
449,2015-10-12,19
492,2015-10-19,18
493,2015-10-26,18
549,2015-11-02,16
79,2015-11-09,34
425,2015-11-16,19
267,2015-11-23,24
208,2015-11-30,25
312,2015-12-07,22
63,2015-12-14,35
515,2015-12-21,17
288,2015-12-28,23
126,2016-01-04,29
462,2016-01-11,19
507,2016-01-18,17
202,2016-01-25,25
310,2016-02-01,22
593,2016-02-08,15
613,2016-02-15,14
670,2016-02-22,10
580,2016-02-29,16
454,2016-03-07,19
636,2016-03-14,13
379,2016-03-21,21
503,2016-03-28,17
293,2016-04-04,23
624,2016-04-11,14
250,2016-04-18,24
604,2016-04-25,14
519,2016-05-02,17
499,2016-05-09,18
650,2016-05-16,12
656,2016-05-23,12
603,2016-05-30,14
446,2016-06-06,19
639,2016-06-13,13
270,2016-06-20,23
510,2016-06-27,17
571,2016-07-04,16
395,2016-07-11,20
605,2016-07-18,14
205,2016-07-25,25
261,2016-08-01,24
555,2016-08-08,16
649,2016-08-15,12
153,2016-08-22,27
495,2016-08-29,18
141,2016-09-05,28
335,2016-09-12,22
366,2016-09-19,21
367,2016-09-26,21
371,2016-10-03,21
218,2016-10-10,25
241,2016-10-17,24
563,2016-10-24,16
386,2016-10-31,20
80,2016-11-07,33
125,2016-11-14,29
171,2016-11-21,26
216,2016-11-28,25
441,2016-12-05,19
127,2016-12-12,29
561,2016-12-19,16
174,2016-12-26,26
140,2017-01-02,28
390,2017-01-09,20
149,2017-01-16,27
210,2017-01-23,25
220,2017-01-30,25
372,2017-02-06,21
175,2017-02-13,26
377,2017-02-20,21
553,2017-02-27,16
322,2017-03-06,22
399,2017-03-13,20
81,2017-03-20,33
383,2017-03-27,21
326,2017-04-03,22
614,2017-04-10,14
342,2017-04-17,22
522,2017-04-24,17
465,2017-05-01,18
615,2017-05-08,14
178,2017-05-15,26
642,2017-05-22,13
473,2017-05-29,18
658,2017-06-05,11
526,2017-06-12,17
254,2017-06-19,24
179,2017-06-26,26
618,2017-07-03,14
197,2017-07-10,25
432,2017-07-17,19
431,2017-07-24,19
533,2017-07-31,17
196,2017-08-07,25
396,2017-08-14,20
567,2017-08-21,16
394,2017-08-28,20
260,2017-09-04,24
258,2017-09-11,24
478,2017-09-18,18
428,2017-09-25,19
333,2017-10-02,22
203,2017-10-09,25
590,2017-10-16,15
332,2017-10-23,22
297,2017-10-30,23
344,2017-11-06,22
447,2017-11-13,19
298,2017-11-20,23
353,2017-11-27,21
224,2017-12-04,25
158,2017-12-11,27
647,2017-12-18,12
574,2017-12-25,16
115,2018-01-01,30
227,2018-01-08,25
461,2018-01-15,19
249,2018-01-22,24
659,2018-01-29,11
398,2018-02-05,20
122,2018-02-12,29
150,2018-02-19,27
324,2018-02-26,22
369,2018-03-05,21
637,2018-03-12,13
173,2018-03-19,26
393,2018-03-26,20
343,2018-04-02,22
509,2018-04-09,17
331,2018-04-16,22
391,2018-04-23,20
505,2018-04-30,17
568,2018-05-07,16
595,2018-05-14,15
476,2018-05-21,18
596,2018-05-28,15
392,2018-06-04,20
635,2018-06-11,13
623,2018-06-18,14
464,2018-06-25,18
633,2018-07-02,13
470,2018-07-09,18
546,2018-07-16,16
552,2018-07-23,16
547,2018-07-30,16
373,2018-08-06,21
389,2018-08-13,20
277,2018-08-20,23
550,2018-08-27,16
678,2018-09-03,9
693,2018-09-10,7
551,2018-09-17,16
357,2018-09-24,21
424,2018-10-01,19
482,2018-10-08,18
427,2018-10-15,19
283,2018-10-22,23
157,2018-10-29,27
430,2018-11-05,19
545,2018-11-12,16
345,2018-11-19,22
544,2018-11-26,16
521,2018-12-03,17
280,2018-12-10,23
190,2018-12-17,26
234,2018-12-24,25
388,2018-12-31,20
233,2019-01-07,25
219,2019-01-14,25
207,2019-01-21,25
455,2019-01-28,19
284,2019-02-04,23
189,2019-02-11,26
228,2019-02-18,25
76,2019-02-25,34
231,2019-03-04,25
363,2019-03-11,21
453,2019-03-18,19
348,2019-03-25,22
583,2019-04-01,15
638,2019-04-08,13
172,2019-04-15,26
451,2019-04-22,19
144,2019-04-29,28
98,2019-05-06,31
248,2019-05-13,24
400,2019-05-20,20
321,2019-05-27,22
253,2019-06-03,24
523,2019-06-10,17
177,2019-06-17,26
368,2019-06-24,21
469,2019-07-01,18
346,2019-07-08,22
121,2019-07-15,29
214,2019-07-22,25
156,2019-07-29,27
139,2019-08-05,28
138,2019-08-12,28
47,2019-08-19,38
102,2019-08-26,31
165,2019-09-02,27
239,2019-09-09,24
340,2019-09-16,22
137,2019-09-23,28
129,2019-09-30,28
104,2019-10-07,31
236,2019-10-14,24
215,2019-10-21,25
133,2019-10-28,28
325,2019-11-04,22
213,2019-11-11,25
289,2019-11-18,23
448,2019-11-25,19
148,2019-12-02,27
194,2019-12-09,25
169,2019-12-16,27
347,2019-12-23,22
16,2019-12-30,49
64,2020-01-06,35
114,2020-01-13,30
152,2020-01-20,27
107,2020-01-27,31
83,2020-02-03,33
211,2020-02-10,25
487,2020-02-17,18
46,2020-02-24,39
56,2020-03-02,36
61,2020-03-09,35
25,2020-03-16,45
28,2020-03-23,45
135,2020-03-30,28
37,2020-04-06,43
95,2020-04-13,31
27,2020-04-20,45
529,2020-04-27,17
29,2020-05-04,45
38,2020-05-11,42
14,2020-05-18,51
21,2020-05-25,48
19,2020-06-01,48
49,2020-06-08,38
12,2020-06-15,53
90,2020-06-22,33
26,2020-06-29,45
65,2020-07-06,35
82,2020-07-13,33
23,2020-07-20,47
69,2020-07-27,35
105,2020-08-03,31
58,2020-08-10,36
9,2020-08-17,60
11,2020-08-24,55
10,2020-08-31,55
18,2020-09-07,48
60,2020-09-14,36
117,2020-09-21,29
20,2020-09-28,48
96,2020-10-05,31
33,2020-10-12,44
22,2020-10-19,48
13,2020-10-26,52
43,2020-11-02,41
48,2020-11-09,38
75,2020-11-16,34
92,2020-11-23,32
35,2020-11-30,43
52,2020-12-07,37
306,2020-12-14,23
91,2020-12-21,32
45,2020-12-28,40
36,2021-01-04,43
77,2021-01-11,34
44,2021-01-18,40
78,2021-01-25,34
17,2021-02-01,48
41,2021-02-08,41
39,2021-02-15,42
116,2021-02-22,29
142,2021-03-01,28
405,2021-03-08,20
477,2021-03-15,18
364,2021-03-22,21
543,2021-03-29,16
317,2021-04-05,22
420,2021-04-12,20
229,2021-04-19,25
74,2021-04-26,34
50,2021-05-03,38
70,2021-05-10,35
94,2021-05-17,32
263,2021-05-24,24
132,2021-05-31,28
429,2021-06-07,19
128,2021-06-14,29
684,2021-06-21,8
230,2021-06-28,25
281,2021-07-05,23
160,2021-07-12,27
113,2021-07-19,30
434,2021-07-26,19
222,2021-08-02,25
191,2021-08-09,26
93,2021-08-16,32
88,2021-08-23,33
59,2021-08-30,36
55,2021-09-06,37
120,2021-09-13,29
101,2021-09-20,31
67,2021-09-27,35
31,2021-10-04,44
84,2021-10-11,33
72,2021-10-18,35
68,2021-10-25,35
24,2021-11-01,46
54,2021-11-08,37
32,2021-11-15,44
89,2021-11-22,33
71,2021-11-29,35
15,2021-12-06,50
40,2021-12-13,42
136,2021-12-20,28
30,2021-12-27,45
6,2022-01-03,72
7,2022-01-10,66
4,2022-01-17,85
8,2022-01-24,65
5,2022-01-31,80
2,2022-02-07,131
3,2022-02-14,96
0,2022-02-21,229
1,2022-02-28,218
299,2022-03-07,23
608,2022-03-14,14
704,2022-03-21,5
719,2022-03-28,3
677,2022-04-04,9
686,2022-04-11,8
542,2022-04-18,16
356,2022-04-25,21
671,2022-05-02,10
701,2022-05-09,6
685,2022-05-16,8
682,2022-05-23,9
584,2022-05-30,15
721,2022-06-06,3
722,2022-06-13,3
703,2022-06-20,5
732,2022-06-27,2
746,2022-07-04,1
715,2022-07-11,4
720,2022-07-18,3
769,2022-07-25,1
